customer_id,purchase_amount,purchase_date
C1010,50.92,2024-06-26
C1017,174.91,3-Jul-2024
C1009,104.68,09/09/2024
C1016,243.2,2024-06-22
C1024,184.37,18-Jul-2024
C1018,195.62,02/10/2024
C1030,117.17,01/24/2024
C1033,220.83,09/25/2024
C1031,56.98,2024-06-28
C1019,161.95,17-Aug-2024
C1014,61.74,03/18/2024
C1026,239.07,1-Aug-2024
C1013,91.18,2024-06-04
C1012,233.34,04/02/2024
C1008,71.6,3-Jun-2024
C1005,187.0,2024-06-25
C1034,140.19,2024-06-05
C1032,170.04,6-Jul-2024
C1003,139.0,14-Jun-2024
C1002,233.29,23-Jun-2024
C1025,182.54,11/21/2024
C1029,102.75,15-Jun-2024
C2050,89.99,2024-07-01
C2051,45.5,08/02/2024
C1024,184.37,18-Jul-2024
