customer_id,campaign_id,signup_date
C1001,CMP003,2024-06-01
C1002,CMP003,04/08/2024
C1003,CMP001,4-Aug-2024
C1004,CMP003,3-Aug-2024
C1005,CMP002,2024-06-01
C1006,CMP001,2024-06-08
C1007,CMP003,1-Aug-2024
C1008,CMP001,21-Aug-2024
C1009,CMP003,04/15/2024
C1010,CMP003,01/25/2024
C1011,CMP001,14-Jul-2024
C1012,CMP002,2024-06-07
C1013,CMP002,2024-06-03
C1014,CMP002,2024-06-12
C1015,CMP002,9-Jun-2024
C1016,CMP003,09/04/2024
C1017,CMP002,2024-06-18
C1018,CMP002,20-Jul-2024
C1019,CMP003,2024-06-23
C1020,CMP001,2024-06-22
C1021,CMP001,02/28/2024
C1022,CMP001,2024-06-13
C1023,CMP002,11/27/2024
C1024,CMP002,2024-06-12
C1025,CMP002,2024-06-22
C1026,CMP002,22-Aug-2024
C1027,CMP001,21-Jun-2024
C1028,CMP003,8-Jun-2024
C1029,CMP002,05/21/2024
C1030,CMP003,8-Aug-2024
C1031,CMP002,2024-06-08
C1032,CMP001,07/09/2024
C1033,CMP001,2024-06-19
C1034,CMP003,04/21/2024
C1035,CMP002,11/15/2024
C1036,CMP999,2024-07-10
C1037,CMP998,07/15/2024
C1003,CMP001,4-Aug-2024
C1010,CMP003,01/25/2024
 C1010,CMP002,2024-06-20
